parent,name,slug
1,Abrasive Blasters,"=LOWER(SUBSTITUTE(B9,"" "",""-""))"
1,Anvils,Anvils
1,Axes,Axes
1,Carpentry Jointers,Carpentry Jointers
1,Carving Chisels & Gouges,Carving Chisels & Gouges
1,Caulking Tools,Caulking Tools
1,Chimney Brushes,Chimney Brushes
1,Compactors,Compactors
1,Compressors,Compressors
1,Concrete Brooms,Concrete Brooms
1,Cutters,Cutters
1,Cutters,Cutters
1,Cutters,Cutters
1,Cutters,Cutters
1,Cutters,Cutters
1,Cutters,Cutters
1,Cutters,Cutters
1,Cutters,Cutters
1,Cutters,Cutters
1,Deburring Tools,Deburring Tools
1,Dollies & Hand Trucks,Dollies & Hand Trucks
1,Drills,Drills
1,Drills,Drills
1,Drills,Drills
1,Drills,Drills
1,Drills,Drills
1,Drills,Drills
1,Electricians Fish Tape,Electricians Fish Tape
1,Grease Guns,Grease Guns
1,Grinders,Grinders
1,Grips,Grips
1,Hammers,Hammers
1,Hammers,Hammers
1,Hammers,Hammers
1,Handheld Power Mixers,Handheld Power Mixers
1,Hardware Torches,Hardware Torches
1,Heat Guns,Heat Guns
1,Impact Spanners & Drivers,Impact Spanners & Drivers
1,Industrial Vibrators,Industrial Vibrators
1,Inspection Mirrors,Inspection Mirrors
1,Ladders & Scaffolding,Ladders & Scaffolding
1,Ladders & Scaffolding,Ladders & Scaffolding
1,Ladders & Scaffolding,Ladders & Scaffolding
1,Ladders & Scaffolding,Ladders & Scaffolding
1,Ladders & Scaffolding,Ladders & Scaffolding
1,Ladders & Scaffolding,Ladders & Scaffolding
1,Lathes,Lathes
1,Light Bulb Changers,Light Bulb Changers
1,Lighters & Matches,Lighters & Matches
1,Log Splitters,Log Splitters
1,Magnetic Sweepers,Magnetic Sweepers
1,Marking Tools,Marking Tools
1,Masonry Tools,Masonry Tools
1,Masonry Tools,Masonry Tools
1,Masonry Tools,Masonry Tools
1,Masonry Tools,Masonry Tools
1,Masonry Tools,Masonry Tools
1,Masonry Tools,Masonry Tools
1,Masonry Tools,Masonry Tools
1,Masonry Tools,Masonry Tools
1,Masonry Tools,Masonry Tools
1,Masonry Tools,Masonry Tools
1,Mattocks & Pickaxes,Mattocks & Pickaxes
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
1,Measuring Tools & Sensors,Measuring Tools & Sensors
